Cust_ID,SSN,Age,Annual_Income,Monthly_Income,Amount_Invested_Monthly,Card_Transactions_Per_Month,Average_Transaction_Amount,Rent_Expenditure,Utilities_Expenditure,Education_Expenditure,Healthcare_Expenditure,Luxury_Expenditure,Travel_Expenditure,Savings_to_Income_Ratio,Missed_Payment_Utilities,Missed_Payment_Insurance,Employment_Stability,Debt_to_Income_Ratio,Savings_Account_Balance,Dependents,Aspirational_Spending_Ratio,Emergency_Fund_Ratio,Overdraft_Fees,Pre_Cursor_Credit_Score
CUST_1,202-61-1860,50,45784.51,3815.3758333333335,100,46,58.446556000460355,1433.05,196.8960205806823,9328.87,7624.28,1647.58,723.9041447004885,0.762,11,6,10,0.775,4452.658311674047,5,0.052,1.283,-29.184428441672104,673.152214220836
CUST_2,370-81-6734,29,66641.69,5553.474166666667,2000,36,79.0698614085144,1659.05,183.15858435334556,32127.43,6077.07,13932.79,261.16098932284416,0.664,5,11,6,1.208,0.0,0,0.213,1.57,16.15038599164188,737.2248070041792
CUST_3,221-92-5426,24,57380.62,4781.718333333333,100,265,55.285484629638184,1596.81,192.360350028564,7320.74,5100.36,20414.93,109.31815623253915,0.409,11,6,5,0.901,2856.775070913405,0,0.358,0.883,53.635701834305266,665.4921490828474
CUST_4,558-97-9322,31,56483.6,4706.966666666666,100,287,76.10317141997461,775.14,274.7548857257795,7725.47,712.17,9136.96,369.63746240858586,0.531,3,4,13,1.003,16745.207834147117,4,0.168,2.253,2.58683184016828,779.5165840799158
CUST_5,761-62-1769,28,38986.24,3248.853333333333,0,258,9.345012903356746,0.0,216.79007911601167,19344.25,6559.84,6103.34,757.9515168158993,0.407,8,8,4,0.651,19835.08483644423,2,0.176,1.732,174.87712804814365,607.9514359759281
CUST_6,443-39-7949,39,55491.27,4624.2725,0,190,56.43223936996096,2103.05,243.51520263515417,2751.38,7922.87,14270.67,0.0,0.542,6,4,1,0.233,12639.955081688453,5,0.257,0.834,36.714704459079556,651.7226477704602
CUST_7,485-73-6051,21,57045.76,4753.8133333333335,0,26,51.65289079731338,1409.85,234.69420446955056,5206.45,2633.36,14218.25,282.05665527624654,0.302,0,0,0,0.229,11317.171303531095,1,0.254,0.77,-16.571723414699946,843.38586170735
CUST_8,376-42-5555,18,38048.21,3170.6841666666664,0,134,16.683852081176227,1350.93,230.31928510169936,6006.31,3162.94,8886.97,1303.3545842349763,0.617,5,4,0,0.307,17238.104323984473,0,0.268,1.06,73.34224547828099,748.5788772608596
CUST_9,413-31-7396,32,73885.65,6157.1375,1000,221,19.69592262052798,915.3,254.4532990368844,28150.6,7559.29,19093.69,393.125139922867,0.245,3,10,0,0.424,5835.700151596168,0,0.264,0.838,118.24895296715056,663.4855235164247
CUST_10,847-98-9666,42,102470.12,8539.176666666666,100,246,59.22641249774377,379.99,241.37816142079507,32143.6,3387.04,2457.19,511.2398483124816,0.854,5,11,18,0.659,4507.407357014667,2,0.029,8.07,110.01855599697576,832.1907220015123
